No;nama;npsn;bentuk_pendidikan;alamat_jalan;desa_kelurahan;kecamatan;kabupaten;provinsi;status_sekolah
151;MTSS LUQMAN AL-HAKIM;10114391;MTs;JL. AL-IKHLAS NO.1 PESANTREN HIDAYATULLAH, DESA NUSA, LHOKNGA;NUSA;Kec. Lhoknga;Kab. Aceh Besar;Prov. Aceh;SWASTA
152;MTSN 5 ACEH BESAR;10114392;MTs;KEUTAPANG LHOONG ACEH BESAR;MON MATA;Kec. Lhoong;Kab. Aceh Besar;Prov. Aceh;NEGERI
153;MTSS KRUENG RAYA;10114393;MTs;DESA MEUNASAH KEUDE;MEUNASAH KEUDE;Kec. Mesjid Raya;Kab. Aceh Besar;Prov. Aceh;SWASTA
154;MTSN 6 ACEH BESAR;10114394;MTs;JL. MONTASIK COT GOH;LAMPASEH LHOK;Kec. Montasik;Kab. Aceh Besar;Prov. Aceh;NEGERI
155;MTS RUHUL AMIN ACEH;69963443;MTs;Jln. Cut Nyak Dien Km. 04  Ajun Aceh Besar;Lam Hasan;Kec. Peukan Bada;Kab. Aceh Besar;Prov. Aceh;SWASTA
156;MTSS PEUKAN BADA;10114395;MTs;LAMLUMPU;LAMLUPUNG;Kec. Peukan Bada;Kab. Aceh Besar;Prov. Aceh;SWASTA
157;MTSS AL-KAMAL;10114396;MTs;DESA KEUNALOI;KEUNALOI;Kec. Seulimeum;Kab. Aceh Besar;Prov. Aceh;SWASTA
158;MTSS SEULIMEUM;10114397;MTs;JLN.BANDA ACEH-MEDAN KM.42. GAMPONG PEUKAN SEULIMEUM KEC,SEULIMEUM;PASAR SEULIMEUM;Kec. Seulimeum;Kab. Aceh Besar;Prov. Aceh;SWASTA
159;MTS INSAN QURANI;69895037;MTs;Jln. Banda Aceh-Medan Km.12,5;Aneuk Batee;Kec. Suka Makmur;Kab. Aceh Besar;Prov. Aceh;SWASTA
160;MTSN 4 ACEH BESAR;10114398;MTs;JL. BANDA ACEH MEDAN KM 15;Lambaro Sibreh;Kec. Suka Makmur;Kab. Aceh Besar;Prov. Aceh;NEGERI
161;MTsS BAITUL ARQAM;69788268;MTs;JL. PASAR SIBREH-PEUKAN BILUI KM, 1;Reuhat Tuha;Kec. Suka Makmur;Kab. Aceh Besar;Prov. Aceh;SWASTA
162;MTSN 4 ACEH JAYA;10114145;MTs;Jln. Patek - Krueng Tho Gampong Pajar;Pajar;Kec. Darul Hikmah;Kab. Aceh Jaya;Prov. Aceh;NEGERI
163;MTSN 2 ACEH JAYA;10114141;MTs;Jln. Banda Aceh - Calang Km. 79 Lamno Gampong Leupe;Leupe;Kec. Jaya;Kab. Aceh Jaya;Prov. Aceh;NEGERI
164;MTS AR-RISALAH;69977132;MTs;Jln. Krueng Sabee-Curek;Datar Luas;Kec. Krueng Sabee;Kab. Aceh Jaya;Prov. Aceh;SWASTA
165;MTSN 3 ACEH JAYA;10114142;MTs;Jln. Banda Aceh - Meulaboh Km. 152 Kuala Meurisi Gampong Keutapang;Keutapang;Kec. Krueng Sabee;Kab. Aceh Jaya;Prov. Aceh;NEGERI
166;MTSN 5 ACEH JAYA;10114143;MTs;Jln. Banda Aceh - Meulaboh Km. 175 Gampong Keude Panga;Keude Panga;Kec. Panga;Kab. Aceh Jaya;Prov. Aceh;NEGERI
167;MTsS PANGA PUCOK;10114144;MTs;Jln. Panga - Pucok Km. 08 Gampong Tuwi Eumpeuk;Tuwi Empeuk;Kec. Panga;Kab. Aceh Jaya;Prov. Aceh;SWASTA
168;MTsS PANTE PURBA;10114146;MTs;Jln. Ligan Suak Beukah Gampong Seumantok;Seumantok;Kec. Sampoiniet;Kab. Aceh Jaya;Prov. Aceh;SWASTA
169;MTsS PANTE KUYUN;10114147;MTs;Jl. Pante Kuyun - Lageun Km. 15 Gampong Pante Kuyun;Pante Kuyun;Kec. Setia Bakti;Kab. Aceh Jaya;Prov. Aceh;SWASTA
170;MTSN 1 ACEH JAYA;10114148;MTs;Jln. Banda Aceh - Meulaboh Km. 191 Gampong Panton;Panton;Kec. Teunom;Kab. Aceh Jaya;Prov. Aceh;NEGERI
171;MTSS ASHHABUL YAMIN;10114267;MTs;KEUDE BAKONGAN;-;Kec. Bakongan;Kab. Aceh Selatan;Prov. Aceh;SWASTA
172;MTSS KEDAI RUNDING;10114269;MTs;KEDAI RUNDING;-;Kec. Kluet Selatan;Kab. Aceh Selatan;Prov. Aceh;SWASTA
173;MTSS DARUSYSYUHADA;10114270;MTs;JLN.T.SRI MUDA NO. 143  PASI LEMBANG KEC.KLUET SELATAN KAB. ACEH SELATAN  PROV.;-;Kec. Kluet Selatan;Kab. Aceh Selatan;Prov. Aceh;SWASTA
174;MTSN 2 ACEH SELATAN;10114268;MTs;Jalan Mesjid No.2 Gampong Suak Bakong;Suaq Bakong;Kec. Kluet Selatan;Kab. Aceh Selatan;Prov. Aceh;NEGERI
175;MTSS LAWE SAWAH;10114272;MTs;JLN. TAPAK AULIA;-;Kec. Kluet Timur;Kab. Aceh Selatan;Prov. Aceh;SWASTA
176;MTSS SWASTA DURIAN KAWAN;10114271;MTs;DURIAN KAWAN;Durian Kawan;Kec. Kluet Timur;Kab. Aceh Selatan;Prov. Aceh;SWASTA
177;MTSS KLUET UTARA;10114273;MTs;SIMPANG EMPAT KOTA FAJAR;Simpang Empat;Kec. Kluet Utara;Kab. Aceh Selatan;Prov. Aceh;SWASTA
178;MTSS MUHAMMADIYAH PADANG BAKAU;10114274;MTs;JLN. TAPAKTUAN - BLANG PIDIE NO.     TELP.  DESA PADANG BAKAU;-;Kec. Labuhan Haji;Kab. Aceh Selatan;Prov. Aceh;SWASTA
179;MTs Thariqun Najah;70013697;MTs;Jln. Gunung Tuan Dusun Kauman Desa Hulu Pisang;Hulu Pisang;Kec. Labuhan Haji;Kab. Aceh Selatan;Prov. Aceh;SWASTA
180;MTSS PANTON PAWOH;10114276;MTs;PANTON PAWOH;-;Kec. Labuhan Haji Barat;Kab. Aceh Selatan;Prov. Aceh;SWASTA
181;MTSS LABUHANHAJI BARAT;10114275;MTs;JLN.SYECH MUDA WALI;-;Kec. Labuhan Haji Barat;Kab. Aceh Selatan;Prov. Aceh;SWASTA
182;MTSS AL-MUNJIYA;10114277;MTs;KUTA TRIENG;-;Kec. Labuhan Haji Barat;Kab. Aceh Selatan;Prov. Aceh;SWASTA
183;MTs JABAL NUR PASYA;70028286;MTs;PEULOKAN;PEULOKAN;Kec. Labuhan Haji Barat;Kab. Aceh Selatan;Prov. Aceh;SWASTA
184;Terpadu Nurul Yaqin Tengku Keramat;69963438;MTs;Jl.Tengku Peulumat No.12 C;-;Kec. Labuhan Haji Timur;Kab. Aceh Selatan;Prov. Aceh;SWASTA
185;MTSS MUKIM ATEUH;10114281;MTs;DESA IE DINGEN;-;Kec. Meukek;Kab. Aceh Selatan;Prov. Aceh;SWASTA
186;MIS ALUE MEUTUAH;10102610;MTs;-;-;Kec. Meukek;Kab. Aceh Selatan;Prov. Aceh;SWASTA
187;MTSS MUHAMMADIYAH LABUHANHAJI TIMUR;10114278;MTs;JLN. PU MEULABOH - TAPAKTUAN;-;Kec. Meukek;Kab. Aceh Selatan;Prov. Aceh;SWASTA
188;MTSS TAROK;10114280;MTs;LABUHAN TAROK;-;Kec. Meukek;Kab. Aceh Selatan;Prov. Aceh;SWASTA
189;MTSS MUHAMMADIYAH MEUKEK;10114279;MTs;KUTABULOH I;Kuta Buloh I;Kec. Meukek;Kab. Aceh Selatan;Prov. Aceh;SWASTA
190;MTSS PASIE RAJA;10114283;MTs;GAMPONG SILOLO;-;Kec. Pasie Raja;Kab. Aceh Selatan;Prov. Aceh;SWASTA
191;MTSS DARUL AITAMI;10114282;MTs;KAMPUNG BARO;Teupin Gajah;Kec. Pasie Raja;Kab. Aceh Selatan;Prov. Aceh;SWASTA
192;MTSN 1 ACEH SELATAN;10114284;MTs;SAMADUA;-;Kec. Samadua;Kab. Aceh Selatan;Prov. Aceh;NEGERI
193;MTSN 4 ACEH SELATAN;10114285;MTs;JL.PU TAPAKTUAN-MEULABOH;-;Kec. Sawang;Kab. Aceh Selatan;Prov. Aceh;NEGERI
194;MTs CAHAYA QUR`AN;69994147;MTs;JL. TEUKU BEN MAHMUD GAMPONG HILIR;;Kec. Tapak Tuan;Kab. Aceh Selatan;Prov. Aceh;SWASTA
195;MTSS JABAL RAHMAH;10114287;MTs;JLN CEMPAKA J. HULU;-;Kec. Tapak Tuan;Kab. Aceh Selatan;Prov. Aceh;SWASTA
196;MTSN 3 ACEH SELATAN;10114286;MTs;JLN. PEURALUENG LHOK KETAPANS;-;Kec. Tapak Tuan;Kab. Aceh Selatan;Prov. Aceh;NEGERI
197;MTSS TRUMON;10114288;MTs;SINGLENG;-;Kec. Trumon;Kab. Aceh Selatan;Prov. Aceh;SWASTA
198;MTSS MATHLABUL ULUM;60727323;MTs;DESA MATANAIR;-;Kec. Trumon;Kab. Aceh Selatan;Prov. Aceh;SWASTA
199;MTsS TRUMON TENGAH;69788264;MTs;JL. MEDAN - BANDA ACEH;TRUMON TENGAH;Kec. Trumon Tengah;Kab. Aceh Selatan;Prov. Aceh;SWASTA
200;MTSS AL-MUHAJIRIN GUNUNG MERIAH;10114076;MTs;JL. PASAR BERTINGKAT LAE BUTAR GUNUNG MERIAH ACEH SINGKIL;Lae Butar;Kec. Gunung Mariah;Kab. Aceh Singkil;Prov. Aceh;SWASTA
201;MTSS MUHAMMADIYAH GUNUNG MERIAH;10114075;MTs;JL. CUT MEUTIA TULAAN GUNUNG MERIAH;TULAAN;Kec. Gunung Mariah;Kab. Aceh Singkil;Prov. Aceh;SWASTA
202;MTS RAHMATUL UMMAH KECAMATAN KUALA BARU;70045034;MTs;Jl. Lintas Kuala Baru- Buloh Seuma, Dusun Suka Maju Desa Suka Jaya;SUKA JAYA;Kec. Kuala Baru;Kab. Aceh Singkil;Prov. Aceh;SWASTA
203;MTsS Darul Muttaqin Danau Bungara;69955811;MTs;Jalan Cut Nyak Dhien Km. 02;Danau Bungara;Kec. Kuta Baharu;Kab. Aceh Singkil;Prov. Aceh;SWASTA
204;MTSS BUNGA AL-QUR`AN;10114077;MTs;JL. RIMO-KOTA BAHARU KM.7;Samar Dua;Kec. Kuta Baharu;Kab. Aceh Singkil;Prov. Aceh;SWASTA
205;MTS BABUSSALAM;69975781;MTs;JL. SINGKIL-SUBULUSSALAM;Lipat Kajang;Kec. Simpang Kanan;Kab. Aceh Singkil;Prov. Aceh;SWASTA
206;MTSS SIMPANG KANAN;10114078;MTs;Jl. Lipat Kajang - Sibolga;Siatas;Kec. Simpang Kanan;Kab. Aceh Singkil;Prov. Aceh;SWASTA
207;MTSS DARUL HASANAH;10114080;MTs;JL. KILANGAN;KILANGAN;Kec. Singkil;Kab. Aceh Singkil;Prov. Aceh;SWASTA
208;MTSN 1 ACEH SINGKIL;10114079;MTs;Jl. Utama No. 11;PULO SAROK;Kec. Singkil;Kab. Aceh Singkil;Prov. Aceh;NEGERI
209;MTS AL - HIKMAH GOSONG TELAGA;70044800;MTs;jl.Manunggal;GOSONG TELAGA TIMUR;Kec. Singkil Utara;Kab. Aceh Singkil;Prov. Aceh;SWASTA
210;MTSS TELAGA MEUKU;10114109;MTs;JLN. ASAMERA DESA TELAGA MEUKU;Telaga Meuku I;Kec. Banda Mulya;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
211;MTs JAMALUL `ARAFAH;69993245;MTs;KAMPUNG PANTAI CEMPA;;Kec. Bandar Pusaka;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
212;MTSS AL-AZHAR;10114114;MTs;DESA JAMBO RAMBONG;-;Kec. Bandar Pusaka;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
213;MTSS BABUSSALAM;10114113;MTs;JLN MUHAMMAD KASIM DESA BABO;Babo;Kec. Bandar Pusaka;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
214;MTSS AL IKHLAS BLANG KANDIS;10114111;MTs;JALAN ALUR JAMBU DUSUN BUKIT KARIM DESA BLANG KANDIS.;Blang Kandis;Kec. Bandar Pusaka;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
215;MTSS AL AZHAR JAMBO RAMBONG;10114112;MTs;DESA JAMBO RAMBONG;Jambo Rambong;Kec. Bandar Pusaka;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
216;MTSS SUNTING;10114110;MTs;JLN. ALUR JAMBU DESA SUNTING;Jambo Rambong;Kec. Bandar Pusaka;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
217;MTs Terpadu Tahfidz Al-Quran;69987468;MTs;Jl. Medan-Banda Aceh;Matang Teupah;Kec. Bendahara;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
218;MTSS YASPENDI SUNGAI IYU;10114115;MTs;JLN. T. BANTA AHMAD PEKAN SUNGAI IYU;MESJID S.IYU;Kec. Bendahara;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
219;MTSS AL-IKHLAS TANAH TERBAN;10114116;MTs;Jalan Kualasimpang, Desa Tanah Terban;Tanah Terban;Kec. Karang Baru;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
220;MTSS SYUKRONIYAH;10114117;MTs;JALAN DUSUN LAWAS DESA JAWA;-;Kec. Kejuruan Muda;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
221;MTSS NURUL IMAN;10114118;MTs;ALUR MENTAWAK;Seumadam;Kec. Kejuruan Muda;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
222;MTSS KEBUN TIGA;60727324;MTs;Kebun Tiga Seumadam;Seumadam;Kec. Kejuruan Muda;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
223;Daarul Muta allimiin;69895041;MTs;Jalan Ampera Dusun Denpasar III Kampung Alur Selebu;Suka Makmur;Kec. Kejuruan Muda;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
224;MTSS DARUL ULUM;10114120;MTs;JLN. CUT NYAK DHIEN DESA SRIWIJAYA;Sriwijaya;Kec. Kualasimpang;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
225;MTSS AL WASHLIYAH KUALASIMPANG;10114119;MTs;JL. LETJEND. S.PARMAN NO.48 KUALASIMPANG;Sriwijaya;Kec. Kualasimpang;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
226;MTsS Ibdaul Islam;69941429;MTs;JLN. AIR TERJUN;-;Kec. Manyak Payed;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
227;MTSS SABILUL ULUM;10114122;MTs;JLN MANYAK PAYED DESA GELANGGANG MERAK;Gelanggang Merak;Kec. Manyak Payed;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
228;MTSN 1 ACEH TAMIANG;10114121;MTs;JLN. BANDA ACEH-MEDAN KM. 457 TUALANG CUT KAB. ACEH TAMIANG PROP. ACEH;Ie Bintah;Kec. Manyak Payed;Kab. Aceh Tamiang;Prov. Aceh;NEGERI
229;MTSS ISTIQAMAH;10114123;MTs;DESA ALUR CUCUR;-;Kec. Rantau;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
230;MTS DARUL ZIKRI;70046491;MTs;Dusun Tamiang;ALUR CUCUR;Kec. Rantau;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
231;MTsS Al Ikhwan;69886218;MTs;Jln. Lubuk Sidup - Babo Desa Sekumur;Sekumur;Kec. Sekerak;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
232;MTSS HARAPAN MUTYARA;10114125;MTs;JLN KUALASIMPANG SERUWAY DESA PANTAI BALAI;Matang Sentang;Kec. Seruway;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
233;MTsS Al Fuad;69886219;MTs;Jln. Dusun Mesjid;Peukan Seuruway;Kec. Seruway;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
234;MTSN 2 ACEH TAMIANG;10114124;MTs;JLN. MESJID PEUKAN SERUWAY;Peukan Seuruway;Kec. Seruway;Kab. Aceh Tamiang;Prov. Aceh;NEGERI
235;Bandar Setia;69895042;MTs;Jln Raden Saman;Bandar Setia;Kec. Tamiang Hulu;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
236;MTs JAMALUL `ARAFAH;69994149;MTs;KAMPUNG PANTAI CEMPA;Kaloy;Kec. Tamiang Hulu;Kab. Aceh Tamiang;Prov. Aceh;SWASTA
237;MTSN 3 ACEH TAMIANG;10114126;MTs;JL.ALUR JAMBU;Kaloy;Kec. Tamiang Hulu;Kab. Aceh Tamiang;Prov. Aceh;NEGERI
238;MTsS ATU LINTANG;69788267;MTs;JLN. TAKENGON-JAGONG ATU LINTANG;Atu Lintang;Kec. Atu Lintang;Kab. Aceh Tengah;Prov. Aceh;SWASTA
239;MTSS Ulumul Qur An;69881576;MTs;Jln. Pintu Nangka No,1 Bebesen;-;Kec. Bebesen;Kab. Aceh Tengah;Prov. Aceh;SWASTA
240;MTsS Ikhwanul Yaqin;10114337;MTs;Jl. Lintang Lr. Sara Datu;KALA KEMILI;Kec. Bebesen;Kab. Aceh Tengah;Prov. Aceh;SWASTA
241;MTSS DARUL MUKHLISIN;10114336;MTs;BURJIMET;Kebet;Kec. Bebesen;Kab. Aceh Tengah;Prov. Aceh;SWASTA
242;MTsS LELABU BEBESEN YAYASAN JAMA` PENGULU BALUHEN;69994144;MTs;JALAN SP. IV-BLANG GELE KAMPUNG LELABU;Lelabu;Kec. Bebesen;Kab. Aceh Tengah;Prov. Aceh;SWASTA
243;MTs Tahfidzul Qur`an Al Azzam;70014199;MTs;Jl. Lemah Burbana No. 30 A;Lemah Burbana;Kec. Bebesen;Kab. Aceh Tengah;Prov. Aceh;SWASTA
244;Maqamam Mahmuda;69963441;MTs;BUNTUL GELENGANG;Simpang Empat;Kec. Bebesen;Kab. Aceh Tengah;Prov. Aceh;SWASTA
245;Al-Ummah;69963442;MTs;JLN. TAKENGON-ANGKUP, SP. III BIES-ARUL LATONG;-;Kec. Bies;Kab. Aceh Tengah;Prov. Aceh;SWASTA
246;MTSS Mi yarul Ulum Al-Aziziyah;69881577;MTs;Bintang-Serule;-;Kec. Bintang;Kab. Aceh Tengah;Prov. Aceh;SWASTA
247;MTsN 6 ACEH TENGAH;10114338;MTs;Jl. Bintang-Serule Kuala II;Kuala Ii;Kec. Bintang;Kab. Aceh Tengah;Prov. Aceh;NEGERI
248;MTSS DARUL ULUM;10114339;MTs;MELALA;-;Kec. Celala;Kab. Aceh Tengah;Prov. Aceh;SWASTA
249;MTsS AL HUDA;69995566;MTs;Jl. Aman Dimot Dusun Bukit Temas;Jagong;Kec. Jagong Jeget;Kab. Aceh Tengah;Prov. Aceh;SWASTA
250;MTSN 7 ACEH TENGAH;10114340;MTs;JL WIH EMPAN NO 3 JEGET AYU;Jeget Ayu;Kec. Jagong Jeget;Kab. Aceh Tengah;Prov. Aceh;NEGERI
251;MTSS KEBAYAKAN;10114342;MTs;KEBAYAKAN;-;Kec. Kebayakan;Kab. Aceh Tengah;Prov. Aceh;SWASTA
252;MTsS AR-RAHMAN;69788266;MTs;JL. PAYA TUMPI I;Paya Tumpi;Kec. Kebayakan;Kab. Aceh Tengah;Prov. Aceh;SWASTA
253;MTSN 2 ACEH TENGAH;10114341;MTs;JL. UJUNG TEMETAS;Pinangan;Kec. Kebayakan;Kab. Aceh Tengah;Prov. Aceh;NEGERI
254;MTSS BELANG MANCUNG;10114343;MTs;DESA BLANG MANCUNG;-;Kec. Ketol;Kab. Aceh Tengah;Prov. Aceh;SWASTA
255;MTSN 5 ACEH TENGAH;10114344;MTs;JLN TAKENGON - LUKUB SABUN RATAWALI;Ratawali;Kec. Kute Panang;Kab. Aceh Tengah;Prov. Aceh;NEGERI
256;MTSN RATAWALI;10114345;MTs;RATAWALI;RATAWALI;Kec. Kute Panang;Kab. Aceh Tengah;Prov. Aceh;NEGERI
257;MTSN 1 ACEH TENGAH;10114346;MTs;JL. LAUT TAWAR TAKENGON;-;Kec. Laut Tawar;Kab. Aceh Tengah;Prov. Aceh;NEGERI
258;MTSN 3 ACEH TENGAH;10114347;MTs;JL. TAKENGON ISAQ KM 6.5 BLANG BEBANGKA;Berawang Baro;Kec. Pegasing;Kab. Aceh Tengah;Prov. Aceh;NEGERI
259;MTSS Gelelungi;69881578;MTs;Gelelungi;Gele Lungi;Kec. Pegasing;Kab. Aceh Tengah;Prov. Aceh;SWASTA
260;MTS DARUL AMAL;69975779;MTs;JL. TAKENGON-ISAK KAMPUNG URING PEGASING;Uring;Kec. Pegasing;Kab. Aceh Tengah;Prov. Aceh;SWASTA
261;MTSS PILAR RUSIP;10114348;MTs;JLN.ANGKUP-PILAR PANTAN TENGAH;Pantan Tengah;Kec. Rusip Antara;Kab. Aceh Tengah;Prov. Aceh;SWASTA
262;MTSN 4 ACEH TENGAH;10114350;MTs;JL. ANGKUP ALUR KUMER;-;Kec. Silih Nara;Kab. Aceh Tengah;Prov. Aceh;NEGERI
263;MTSN ANGKUP;10114349;MTs;JL.ANGKUP - ARUL KUMER;ARUL KUMER;Kec. Silih Nara;Kab. Aceh Tengah;Prov. Aceh;NEGERI
264;MTSS ARUL KUMER;10114351;MTs;ARUL KUMER;Rutih;Kec. Silih Nara;Kab. Aceh Tengah;Prov. Aceh;SWASTA
265;MTS DARUL MUJAHADAH AL WALIYYAH;69975780;MTs;JL. ANGKUP-BLANG MANCUNG;Wihni Durin;Kec. Silih Nara;Kab. Aceh Tengah;Prov. Aceh;SWASTA
266;MTSS AL-AMANAH;10114289;MTs;JLN PESANTREN DESA MUARA SITULEN;-;Kec. Babul Makmur;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
267;MTSN 1 ACEH TENGGARA;10114290;MTs;JL. PELAJAR NO. 3;-;Kec. Babussalam;Kab. Aceh Tenggara;Prov. Aceh;NEGERI
268;MTSS PULO KEMIRI;10103146;MTs;Jl. Kutacane - Blangkejeren No. 88 Pulokemiri;Batu Bulan Asli;Kec. Babussalam;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
269;MTSS AL - FATTAH;10114292;MTs;Jl. T. Bedussamad;Perapat Sepakat;Kec. Babussalam;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
270;MTSS AL AZHAR;10114295;MTs;JL. KUTACANE-BLANGKEJEREN DESA DELENG MEGAKHE KEC.BADAR KABUPATEN ACEH TENGGARA;-;Kec. Badar;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
271;MTs MADINATUL ULUM;70031337;MTs;jl. Kutacane - Blangkejeren Desa Batu Mbekhong Kec. Badar Kab. Aceh Tenggara;BATU MBEKHONG;Kec. Badar;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
272;MTSN JONGAR;10114293;MTs;JL. KUTACANE-BLANGKEJEREN DESA JONGAR;Kumbang Jaya;Kec. Badar;Kab. Aceh Tenggara;Prov. Aceh;NEGERI
273;MTSS DARUL HASANAH;10114294;MTs;JLN. KUTACANE-BLANGKEJEREN KM. 12.5 DESA NATAM BARU;Natam Baru;Kec. Badar;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
274;MTSS NURUL ISLAM;10114296;MTs;JLN KELAPA GADING-KUNING;-;Kec. Bambel;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
275;MTSS DARUL IHSAN;10114298;MTs;JL. BAMBEL LAMA NO. 225;-;Kec. Bambel;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
276;MTSS AL ARADHIYYAH;10114299;MTs;DESA RIKIT PALUH;-;Kec. Bambel;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
277;MTSS RAUDHATUSSHALIHIN;10114300;MTs;JL. KUTACANE - MEDAN KM. 12;Darussalam;Kec. Bukit Tusam;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
278;MTSS NURUL ULUM;10114301;MTs;DESA PULO PIKU;-;Kec. Darul Hasanah;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
279;MTSS BINA ISLAMI;10114302;MTs;JL. RAJA TUA DESA KITE MERANGGUN;-;Kec. Darul Hasanah;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
280;MTSS BADRUL ULUM;10114303;MTs;JL. KUTACANE- BLANGKEJEREN KM. 22;-;Kec. Ketambe;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
281;MTSS RAUDHATUL ISLAM;10114305;MTs;JL. MBARUNG-ENGKERAN;-;Kec. Lawe Alas;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
282;MTSN ENGKERAN;10114304;MTs;JLN. PENDIDIKAN NO.1 DESA DARUL AMIN;Darul Amin;Kec. Lawe Alas;Kab. Aceh Tenggara;Prov. Aceh;NEGERI
283;MTsS TARBIYAH AULADIL MUSLIMIN;69788265;MTs;JL. MBARUNG -ENGKERAN;DESA CINGKAM MERANGGUN;Kec. Lawe Alas;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
284;MTS NAHDHAH HASANAH;69977125;MTs;DESA RIH MBELANG KEC. LAWE ALAS;Rih Mbelang;Kec. Lawe Alas;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
285;MTSN 2 ACEH TENGGARA;10114306;MTs;JL.KALI ALAS NO.286 DESA LAWE SIGALA BARAT;-;Kec. Lawe Sigala-Gala;Kab. Aceh Tenggara;Prov. Aceh;NEGERI
286;MTSS SEPAKAT SEGENEP;10114297;MTs;JL. KUTACANE - MEDAN KM.5;-;Kec. Semadam;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
287;MTSS RAUDHATUL HASANAH;10114307;MTs;JL. KUTACANE-MEDAN KM. 13;-;Kec. Semadam;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
288;MTSS AL HIDAYAH;10114308;MTs;JL. PANTE DONA DESA SALIM PINIM;-;Kec. Tanoh Alas;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
289;MTs NURUL AFIFAH;70027851;MTs;Jln.Salim Pinim - Salim Pipit;KUTE MEJILE;Kec. Tanoh Alas;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
290;MTS MUZAMMIL AL-AZIZIYAH;69977126;MTs;JL. NGKERAN-SALIM PIPIT;Rumah Luar;Kec. Tanoh Alas;Kab. Aceh Tenggara;Prov. Aceh;SWASTA
291;MTSS DAMA PUTEH;10114309;MTs;JALAN BUKET BATE  DESA PANTON RAYEUK BANDA ALAM KM 10;Panton Rayeuk M;Kec. Banda Alam;Kab. Aceh Timur;Prov. Aceh;SWASTA
292;MTSS DARUSSA`ADAH;10114310;MTs;JLN. KEUDE GEUREUBAK - JAMBOE REUHAT;Seuneubok Pangou;Kec. Banda Alam;Kab. Aceh Timur;Prov. Aceh;SWASTA
293;MTSS AL IKHLAS;10114311;MTs;DUSUN DAMAI,GAMPONG ALUR SENTANG, KEC. BIREM BAYEUN,KAB. ACEH TIMUR ACEH;-;Kec. Birem Bayeun;Kab. Aceh Timur;Prov. Aceh;SWASTA
294;MTSS ZAWIYAH COT KALA;10114312;MTs;Dusun Keluarga;Alue Teh;Kec. Birem Bayeun;Kab. Aceh Timur;Prov. Aceh;SWASTA
295;MTs Model;70027001;MTs;Dusun Petua Badai, Gampong Aramiyah, Kecamatan Birem Bayeun, Kabupaten Aceh Timu;ARAMIYAH;Kec. Birem Bayeun;Kab. Aceh Timur;Prov. Aceh;SWASTA
296;MTS BUDI MALIKUSSALEH;70061399;MTs;Jl. Banda Aceh-Medan Km 363 Dusun Tgk. Idham Desa Buket Kulam;BUKET KULAM;Kec. Darul Aman;Kab. Aceh Timur;Prov. Aceh;SWASTA
297;MTs PERSADA;70024921;MTs;Jln. Banda Aceh - Medan Dusun Rezeki;GAMPONG BARO;Kec. Darul Aman;Kab. Aceh Timur;Prov. Aceh;SWASTA
